matrix_size v0 v1-b4 v1-b16 v1-64
128 .00010500000000000000 .00005150000000000000 .00003700000000000000 .00004860000000000000 
256 .00054740000000000000 .00023010000000000000 .00014790000000000000 .00058240000000000000 
384 .00096260000000000000 .00047930000000000000 .00034560000000000000 .00052900000000000000 
512 .00265490000000000000 .00109730000000000000 .00089250000000000000 .00262740000000000000 
640 .00306080000000000000 .00159050000000000000 .00124610000000000000 .00162050000000000000 
768 .00708850000000000000 .00288950000000000000 .00209190000000000000 .00538910000000000000 
896 .01535740000000000000 .00485900000000000000 .00311520000000000000 .00364540000000000000 
1024 .02577920000000000000 .00825060000000000000 .01094040000000000000 .01146980000000000000 
1152 .02904840000000000000 .00890990000000000000 .00548540000000000000 .00631150000000000000 
1280 .03535270000000000000 .01082590000000000000 .00712310000000000000 .01557390000000000000 
1408 .04336760000000000000 .01322560000000000000 .00900560000000000000 .00954720000000000000 
1536 .05322850000000000000 .01606030000000000000 .01145830000000000000 .02486590000000000000 
1664 .06078170000000000000 .01855430000000000000 .01291810000000000000 .01332670000000000000 
1792 .07046120000000000000 .02159130000000000000 .01558970000000000000 .03095610000000000000 
1920 .08472040000000000000 .02505360000000000000 .01845410000000000000 .01886740000000000000 
2048 .13251270000000000000 .04338310000000000000 .04377800000000000000 .04670110000000000000 
2176 .11021880000000000000 .03501770000000000000 .02595690000000000000 .02424470000000000000 
2304 .12335160000000000000 .03575490000000000000 .02629850000000000000 .05109910000000000000 
2432 .13496180000000000000 .04168630000000000000 .02978360000000000000 .02909320000000000000 
2560 .19127880000000000000 .05477160000000000000 .03420400000000000000 .06965380000000000000 
2688 .17268730000000000000 .05080430000000000000 .03818760000000000000 .03699060000000000000 
2816 .19285120000000000000 .05749810000000000000 .04288780000000000000 .07759410000000000000 
2944 .20643960000000000000 .06061910000000000000 .04404020000000000000 .04284750000000000000 
3072 .30105510000000000000 .08416410000000000000 .09857100000000000000 .10713990000000000000 
3200 .24712330000000000000 .07379950000000000000 .05130860000000000000 .05217100000000000000 
3328 .27434850000000000000 .08325680000000000000 .05502370000000000000 .10655090000000000000 
3456 .28191350000000000000 .08457890000000000000 .06761970000000000000 .06222110000000000000 
3584 .41286170000000000000 .11640410000000000000 .07044570000000000000 .13778050000000000000 
3712 .32821200000000000000 .10203920000000000000 .07158700000000000000 .06778300000000000000 
3840 .39009500000000000000 .12187270000000000000 .07712980000000000000 .14249220000000000000 
3968 .38124920000000000000 .11787010000000000000 .08227320000000000000 .08200600000000000000 
4096 .52869820000000000000 .16126770000000000000 .18112380000000000000 .19941330000000000000 
4224 .44452240000000000000 .13865680000000000000 .09752980000000000000 .08880800000000000000 
4352 .56829140000000000000 .16310180000000000000 .10161730000000000000 .18719890000000000000 
4480 .50293300000000000000 .15400500000000000000 .10362250000000000000 .10446330000000000000 
4608 .68882060000000000000 .19218220000000000000 .11715810000000000000 .22898420000000000000 
4736 .58921560000000000000 .17279210000000000000 .11736260000000000000 .11472440000000000000 
4864 .71660820000000000000 .20803540000000000000 .12307060000000000000 .23284480000000000000 
4992 .66780600000000000000 .19436900000000000000 .12959180000000000000 .13145900000000000000 
5120 .84990740000000000000 .23367490000000000000 .28212280000000000000 .29389390000000000000 
5248 .74957350000000000000 .21546030000000000000 .14504370000000000000 .14501810000000000000 
5376 .91709840000000000000 .26286450000000000000 .14875080000000000000 .28130470000000000000 
5504 .83650370000000000000 .25502970000000000000 .15692410000000000000 .16001370000000000000 
5632 1.04867390000000000000 .28921600000000000000 .17227490000000000000 .34215340000000000000 
5760 .93517210000000000000 .27185850000000000000 .17773350000000000000 .16873300000000000000 
5888 1.13148000000000000000 .32434060000000000000 .18532520000000000000 .34045920000000000000 
6016 1.03576740000000000000 .30785320000000000000 .19479380000000000000 .18435910000000000000 
6144 1.23292060000000000000 .34932610000000000000 .41020970000000000000 .45390090000000000000 
6272 1.16614010000000000000 .34399020000000000000 .21182610000000000000 .20044040000000000000 
6400 1.36717660000000000000 .39135560000000000000 .22494120000000000000 .40338520000000000000 
6528 1.30137940000000000000 .38404460000000000000 .21075270000000000000 .22199260000000000000 
6656 1.46705530000000000000 .41024730000000000000 .23110660000000000000 .47589430000000000000 
6784 1.38443740000000000000 .41319860000000000000 .23463050000000000000 .23872110000000000000 
6912 1.66662300000000000000 .46908630000000000000 .24847090000000000000 .47224160000000000000 
7040 1.56140830000000000000 .47235980000000000000 .24130990000000000000 .26235600000000000000 
7168 1.73500350000000000000 .48747110000000000000 .56227260000000000000 .58320440000000000000 
7296 1.74386130000000000000 .49472530000000000000 .25850940000000000000 .27929860000000000000 
7424 1.90741310000000000000 .52966200000000000000 .25041470000000000000 .54524880000000000000 
7552 1.82599480000000000000 .53362840000000000000 .26711740000000000000 .30179270000000000000 
7680 2.07408400000000000000 .59277010000000000000 .30003280000000000000 .63809370000000000000 
7808 2.03393130000000000000 .64251870000000000000 .33895370000000000000 .33172720000000000000 
7936 2.20874160000000000000 .64543100000000000000 .29425380000000000000 .62061550000000000000 
8064 2.15039680000000000000 .61917080000000000000 .29488680000000000000 .33190150000000000000 
8192 2.24018490000000000000 .65817230000000000000 .81657920000000000000 .78969650000000000000 
