matrix_size mult0 mult1 mult2 mult3
128 .01714400000000000000 .00565906666666666666 .01811120000000000000 .00551513333333333333 
192 .05936300000000000000 .01972726666666666666 .05813720000000000000 .01900753333333333333 
256 .14390633333333333333 .04902293333333333333 .24636200000000000000 .04885493333333333333 
320 .28195113333333333333 .08882493333333333333 .27709960000000000000 .08620606666666666666 
384 .48911946666666666666 .15487640000000000000 1.34019480000000000000 .15169133333333333333 
448 .80658526666666666666 .25755873333333333333 3.85128053333333333333 .25048666666666666666 
512 1.86820126666666666666 .40515920000000000000 6.65542560000000000000 .41251626666666666666 
576 2.36569820000000000000 .57403626666666666666 9.85060493333333333333 .53763386666666666666 
640 4.77347586666666666666 .82862086666666666666 13.74525500000000000000 .72431693333333333333 
704 6.48038773333333333333 1.06259680000000000000 18.19749093333333333333 .97403880000000000000 
768 9.28897306666666666666 1.38061133333333333333 23.20994006666666666666 1.25797493333333333333 
